State,ID,Candidate1,Votes,Fraction,Candidate2,Votes,Fraction,Candidate3,Votes,Fraction,Candidate4,Votes,Fraction,Candidate5,Votes,Fraction,Candidate6,Votes,Fraction,Candidate7,Votes,Fraction,winnerofDemocrat,winnerofRepublican
Ohio,39,Hillary Clinton,679266,,Bernie Sanders,513549,,Ben Carson,,,Donald Trump,727585,,Ted Cruz,267592,,John Kasich,956762,,Marco Rubio,59802,,Hillary Clinton,John Kasich
Oklahoma,40,Hillary Clinton,137840,,Bernie Sanders,171771,,Ben Carson,28378,,Donald Trump,129192,,Ted Cruz,156643,,John Kasich,16463,,Marco Rubio,118669,,Bernie Sanders,Ted Cruz
Oregon,41,Hillary Clinton,,,Bernie Sanders,,,Ben Carson,,,Donald Trump,,,Ted Cruz,,,John Kasich,,,Marco Rubio,,,,
Pennsylvania,42,Hillary Clinton,,,Bernie Sanders,,,Ben Carson,,,Donald Trump,,,Ted Cruz,,,John Kasich,,,Marco Rubio,,,,
Rhode Island,44,Hillary Clinton,,,Bernie Sanders,,,Ben Carson,,,Donald Trump,,,Ted Cruz,,,John Kasich,,,Marco Rubio,,,,
South Carolina,45,Hillary Clinton,271514,,Bernie Sanders,95977,,Ben Carson,53326,,Donald Trump,239851,,Ted Cruz,164790,,John Kasich,56206,,Marco Rubio,165881,,Hillary Clinton,Donald Trump
South Dakota,46,Hillary Clinton,,,Bernie Sanders,,,Ben Carson,,,Donald Trump,,,Ted Cruz,,,John Kasich,,,Marco Rubio,,,,
Tennessee,47,Hillary Clinton,244663,,Bernie Sanders,120047,,Ben Carson,,,Donald Trump,333887,,Ted Cruz,215084,,John Kasich,45155,,Marco Rubio,180645,,Hillary Clinton,Donald Trump
Texas,48,Hillary Clinton,925323,,Bernie Sanders,471191,,Ben Carson,181145,,Donald Trump,742016,,Ted Cruz,1219691,,John Kasich,118707,,Marco Rubio,495825,,Hillary Clinton,Ted Cruz
Utah,49,Hillary Clinton,15666,,Bernie Sanders,61333,,Ben Carson,,,Donald Trump,24864,,Ted Cruz,122567,,John Kasich,29773,,Marco Rubio,,,Bernie Sanders,Ted Cruz
Vermont,50,Hillary Clinton,1694,,Bernie Sanders,10272,,Ben Carson,275,,Donald Trump,2116,,Ted Cruz,681,,John Kasich,4222,,Marco Rubio,6785,,Bernie Sanders,Marco Rubio
Virginia,51,Hillary Clinton,399943,,Bernie Sanders,218517,,Ben Carson,51186,,Donald Trump,311174,,Ted Cruz,151738,,John Kasich,80395,,Marco Rubio,275354,,Hillary Clinton,Donald Trump
Washington,53,Hillary Clinton,,,Bernie Sanders,,,Ben Carson,,,Donald Trump,,,Ted Cruz,,,John Kasich,,,Marco Rubio,,,,
West Virginia,54,Hillary Clinton,,,Bernie Sanders,,,Ben Carson,,,Donald Trump,,,Ted Cruz,,,John Kasich,,,Marco Rubio,,,,
Wisconsin,55,Hillary Clinton,,,Bernie Sanders,,,Ben Carson,,,Donald Trump,,,Ted Cruz,,,John Kasich,,,Marco Rubio,,,,
Wyoming,56,Hillary Clinton,,,Bernie Sanders,,,Ben Carson,,,Donald Trump,,,Ted Cruz,,,John Kasich,,,Marco Rubio,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
